results_studies_id,results_id,results_position,results_queries_id,results_url,results_main,results_se,hash,speed,module,result,queries_id,query,decision_tree,rules
82,23003,132,336,https://www.abendblatt.de/region/stormarn/article213015067/Sturm-laesst-Keller-volllaufen-und-sorgt-fuer-Hochwasser.html,https://www.abendblatt.de/,Google,007e34735874a3f83d95106bd5778d1a,4.44,"['check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check title_h1_identical', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['108', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1', '3', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', 'Google Tag Manager', '58', '156', '1', '1', '1', '0', '0', '1.351', '74', '1', '1', '0', '1', '1', '0', '6', '1', '1', '0', '6', '0', '1', '1', '1']",336,hochwasser,probably_not_optimized,optimized
82,22935,64,336,https://www.muenchen.de/aktuell/2021/2021-07/hochwasser-an-der-isar.html,https://www.muenchen.de/,Google,013ae7fc5925fb3f884bc11dc53593af,6.433,"['check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check title_h1_identical', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['60', '1', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', 'Etracker', '55', '62', '1', '1', '1', '1', '0', '8.035', '112', '9', '1', '0', '1', '7', '1', '6', '1', '1', '0', '4', '0', '0', '1', '1']",336,hochwasser,optimized,probably_optimized
82,22910,39,336,https://www.prefa.de/produkt-katalog/hochwasserschutz/,https://www.prefa.de/,Google,01f1e398b7b7a4dac8d8ea2da66fc1f1,1.793,"['check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check title_h1_identical', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['42', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '12', '358', '1', '1', '1', '0', '0', '25.0', '28', '7', '1', '0', '1', '13', '6', '55', '1', '1', '0', '5', '0', '1', '1', '1']",336,hochwasser,optimized,probably_optimized
82,22913,42,336,https://www.swr3.de/aktuell/nachrichten/hochwasser-live-ticker-100.html,https://www.swr3.de/,Google,03083af74bd15adfcf13db93f9578e2a,3.895,"['check title_h1_identical', 'check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['0', '59', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1', '9', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '105', '239', '1', '1', '1', '1', '6.609', '348', '23', '1', '0', '1', '88', '4', '192', '1', '1', '0', '47', '0', '0', '1', '1']",336,hochwasser,optimized,optimized
82,22938,67,336,https://www.dlrg.de/spenden/hochwasser/,https://www.dlrg.de/,Google,04737b3e8f3697f11b16bbef6133ecfb,3.495,"['check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check title_h1_identical', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['27', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '1', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '35', '433', '1', '1', '1', '0', '0', '3.183', '377', '12', '1', '0', '0', '17', '2', '12', '0', '0', '0', '0', '0', '0', '1', '1']",336,hochwasser,optimized,probably_optimized
82,23038,167,336,https://www.styc.de/?m=201610,https://www.styc.de/,Google,054a899464515bee15bc2346bbbac5e1,2.093,"['check title_h1_identical', 'check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['0', '17', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '9', '82', '1', '0', '0', '2', '2.564', '39', '1', '0', '0', '0', '0', '1', '3', '0', '0', '0', '0', '0', '0', '0', '0']",336,hochwasser,probably_optimized,probably_not_optimized
82,23025,154,336,https://www.hchagemann.de/referenz/hochwasserschutz-anlage-billhafen-hamburg,https://www.hchagemann.de/,Google,07e719246154a3f49ee438d47eaca807,1.709,"['check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check title_h1_identical', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['64', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '40', '1', '0', '1', '2', '0', '0.0', '7', '0', '1', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '1', '0']",336,hochwasser,optimized,probably_not_optimized
82,23055,184,336,https://www.eos-serviceportal.de/,https://www.eos-serviceportal.de/,Google,08da656dbfce5cb72e88d1e70675ef08,1.046,"['check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check title_h1_identical', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['21', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '21', '1', '0', '1', '2', '0', '0.0', '6', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",336,hochwasser,optimized,probably_not_optimized
82,23019,148,336,http://www.artlenburger-deichverband.de/component/content/,http://www.artlenburger-deichverband.de/,Google,0a18e63fce7f19472d2ac0e925717c04,1.486,"['check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check title_h1_identical', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['47', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '14', '64', '1', '0', '1', '0', '0', '0.0', '46', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0']",336,hochwasser,optimized,probably_not_optimized
82,22928,57,336,https://www.ksta.de/region/euskirchen-eifel/kreis-euskirchen-abkochgebot-fuer-wasser-ausgeweitet---polizei-korrigiert-todeszahlen-38908062,https://www.ksta.de/,Google,0a4bbc5869aff3b7d619920c2c50cf25,-1626950000.0,"['check title_h1_identical', 'check url_length', 'robots_txt', 'source top', 'source shop', 'source search engine', 'source not optimized', 'source news', 'source known', 'source company', 'source ads', 'check h1', 'check nofollow', 'check wordpress', 'check sitemap', 'check og', 'micros counter', 'micros', 'check https', 'tools ads count', 'tools ads', 'tools social count', 'tools social', 'tools content count', 'tools content', 'tools caching count', 'tools caching', 'tools seo count', 'tools seo', 'tools analytics count', 'tools analytics', 'check external links', 'check internal links', 'check title', 'check description', 'check viewport', 'check title_h1_match', 'check kw_density', 'check word_count', 'check kw_count', 'check kw_in_url', 'check kw_in_description-og-name', 'check kw_in_description-og-property', 'check kw_in_href', 'check kw_in_link-text', 'check kw_in_source', 'check kw_in_meta-og', 'check kw_in_meta-description', 'check kw_in_meta-properties', 'check kw_in_meta-content', 'check kw_in_title-meta', 'check kw_in_title-og', 'check kw_in_title', 'check canonical']","['0', '126', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '1', 'plista', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '60', '300', '1', '1', '1', '1', '3.783', '185', '7', '0', '0', '0', '8', '1', '43', '0', '0', '0', '0', '0', '0', '1', '1']",336,hochwasser,optimized,optimized
